Target,Source,Type,weight
Nomi Sunrider,Arca Jeth,Undirected,2
Tesar Sebatyne,Saba Sebatyne,Undirected,2
Anakin Solo,Mara Jade,Undirected,2
Leia Organa,Luke Skywalker,Undirected,2
Mara Jade,Luke Skywalker,Undirected,2
Anakin Solo,Luke Skywalker,Undirected,2
Ulic Qel-Droma,Arca Jeth,Undirected,2
Cay Qel-Droma,Arca Jeth,Undirected,2
Wolf Sazen,Kol Skywalker,Undirected,2
Kyle Katarn,Mara Jade,Undirected,2
Mara Jade,Kyle Katarn,Undirected,2
Luke Skywalker,Yoda,Undirected,2
Kyle Katarn,Luke Skywalker,Undirected,2
Jacen Solo,Luke Skywalker,Undirected,2
Kenth Hamner,Luke Skywalker,Undirected,2
Corran Horn,Luke Skywalker,Undirected,2
Alema Rar,Daeshara'cor,Undirected,2
Tan Yuster,Agen Kolar,Undirected,2
Ben Skywalker,Luke Skywalker,Undirected,2
Kirana Ti,Luke Skywalker,Undirected,2
Krynda Draay,Arca Jeth,Undirected,2
Tott Doneeta,Arca Jeth,Undirected,2
Ahsoka Tano,Anakin Skywalker,Undirected,2
Cilghal,Luke Skywalker,Undirected,2
Nayama,Jolee Bindo,Undirected,2
Shado Vao,Kol Skywalker,Undirected,2
Visas Marr,Meetra Surik,Undirected,2
Ki-Adi-Mundi,Yoda,Undirected,2
Cin Drallig,Yoda,Undirected,2
Leia Organa,Vima-Da-Boda,Undirected,2
Rosh Penin,Kyle Katarn,Undirected,2
Count Dooku,Yoda,Undirected,2
Mace Windu,Yoda,Undirected,2
Kam Solusar,Luke Skywalker,Undirected,2
Jaina Solo,Mara Jade,Undirected,2
Jaden Korr,Kyle Katarn,Undirected,2
Desann,Luke Skywalker,Undirected,2
Streen,Luke Skywalker,Undirected,2
Qu Rahn,Yoda,Undirected,2
Q'Anilia,Krynda Draay,Undirected,2
Leia Organa,Saba Sebatyne,Undirected,2
Allana Solo,Leia Organa,Undirected,2
Kyp Durron,Luke Skywalker,Undirected,2
Tionne Solusar,Luke Skywalker,Undirected,2
Kit Fisto,Yoda,Undirected,2
Rahm Kota,Yoda,Undirected,2
Tavion Axmis,Desann,Undirected,2
Yun,Qu Rahn,Undirected,2
Aqinos,Jaled Dur,Undirected,2
Kyle Katarn,Qu Rahn,Undirected,2
Gantoris,Luke Skywalker,Undirected,2
Tekli,Cilghal,Undirected,2
Atton Rand,Meetra Surik,Undirected,2
Siri Tachi,Adi Gallia,Undirected,2
Kyp Durron,Vima-Da-Boda,Undirected,2
Mical,Meetra Surik,Undirected,2
Gantoris,Exar Kun,Undirected,2
Aleema,Exar Kun,Undirected,2
Tahiri Veila,Corran Horn,Undirected,2
Nayama,Exar Kun,Undirected,2
Oppo Rancisis,Yaddle,Undirected,2
Darth Sion,Darth Traya,Undirected,2
Tahiri Veila,Jacen Solo,Undirected,2
Starkiller,Rahm Kota,Undirected,2
Danni Quee,Jaina Solo,Undirected,2
Miko Reglia,Kyp Durron,Undirected,2
Meetra Surik,Darth Traya,Undirected,2
Tahiri Veila,Ikrit,Undirected,2
Bao-Dur,Meetra Surik,Undirected,2
Empatojayos Brand,Yaddle,Undirected,2
Jaina Solo,Kyp Durron,Undirected,2
Aayla Secura,Quinlan Vos,Undirected,2
Barriss Offee,Luminara Unduli,Undirected,2
Ben Skywalker,Jacen Solo,Undirected,2
Ulic Qel-Droma,Exar Kun,Undirected,2
Maris Brood,Shaak Ti,Undirected,2
Darth Nihilus,Darth Traya,Undirected,2
Oss Wilum,Exar Kun,Undirected,2
Anakin Solo,Ikrit,Undirected,2
Mira,Meetra Surik,Undirected,2
Revan,Darth Traya,Undirected,2
Kyp Durron,Exar Kun,Undirected,2
Brianna,Meetra Surik,Undirected,2
