jediLabel,actorLabel,scoreLabel
Aayla Secura,Amy Allen,76.0
Anakin Skywalker,Hayden Christensen,73.0
Anakin Skywalker,Jake Lloyd,55.0
Anakin Skywalker,Sebastian Shaw,77.5
Count Dooku,Christopher Lee,70.75
Darth Vader,David Prowse,86.0
Darth Vader,Hayden Christensen,73.0
Darth Vader,James Earl Jones,82.5
Jocasta Nu,Alethea McGrath,65.5
Ki-Adi-Mundi,Silas Carson,65.5
Luke Skywalker,Mark Hamill,80.625
Mace Windu,Samuel L. Jackson,65.5
Obi-Wan Kenobi,Alec Guinness,86.5
Obi-Wan Kenobi,Ewan McGregor,71.125
Qui-Gon Jinn,Liam Neeson,60.25
Rey,Daisy Ridley,75.25
Yoda,Frank Oz,76.39285714285714
Yoda,Tom Kane,81.25
